spread, inertia, balancing, x flow error, x total, rest, ||Ux-f||
0.05000000, 0.30000000, 0.00300000, 0.64576677, 10000.00000000, 7339.00000000, 1383.03687586
0.05000000, 0.30000000, 0.00400000, 0.65762274, 10000.00000000, 7880.00000000, 1476.78163586
0.10000000, 0.00000000, 0.00000000, 0.21070000, 10000.00000000, 568.00000000, 200.80338643
0.10000000, 0.00000000, 0.00100000, 0.31701779, 10000.00000000, 4270.00000000, 972.54202994
0.10000000, 0.00000000, 0.00200000, 0.52137834, 10000.00000000, 6597.00000000, 1256.59500238
0.10000000, 0.00000000, 0.00300000, 0.65881660, 10000.00000000, 7682.00000000, 1419.63305118
0.10000000, 0.00000000, 0.00400000, 0.71483397, 10000.00000000, 8291.00000000, 1523.49236952
0.10000000, 0.05000000, 0.00000000, 0.18100000, 10000.00000000, 284.00000000, 106.63020210
0.10000000, 0.05000000, 0.00100000, 0.30427308, 10000.00000000, 4039.00000000, 945.69181026
0.10000000, 0.05000000, 0.00200000, 0.53106898, 10000.00000000, 6438.00000000, 1235.98786402
0.10000000, 0.05000000, 0.00300000, 0.63637687, 10000.00000000, 7503.00000000, 1390.80300546
0.10000000, 0.05000000, 0.00400000, 0.69683698, 10000.00000000, 8131.00000000, 1495.79844899
0.10000000, 0.10000000, 0.00000000, 0.19860000, 10000.00000000, 525.00000000, 173.09823800
0.10000000, 0.10000000, 0.00100000, 0.27817334, 10000.00000000, 3806.00000000, 920.11303653
0.10000000, 0.10000000, 0.00200000, 0.52492859, 10000.00000000, 6341.00000000, 1228.28213371
0.10000000, 0.10000000, 0.00300000, 0.64318738, 10000.00000000, 7376.00000000, 1377.11364818
0.10000000, 0.10000000, 0.00400000, 0.68433620, 10000.00000000, 8017.00000000, 1479.56649056
0.10000000, 0.20000000, 0.00000000, 0.36450976, 10000.00000000, 3134.00000000, 874.81197980
0.10000000, 0.20000000, 0.00100000, 0.31034130, 10000.00000000, 3625.00000000, 879.85851135
0.10000000, 0.20000000, 0.00200000, 0.52713081, 10000.00000000, 6244.00000000, 1224.29734950
0.10000000, 0.20000000, 0.00300000, 0.63829787, 10000.00000000, 7297.00000000, 1375.62531236
0.10000000, 0.20000000, 0.00400000, 0.69550073, 10000.00000000, 7902.00000000, 1471.17164192
0.10000000, 0.30000000, 0.00000000, 0.18133417, 10000.00000000, 4772.00000000, 1293.87634649
0.10000000, 0.30000000, 0.00100000, 0.41935857, 10000.00000000, 3675.00000000, 864.03645756
0.10000000, 0.30000000, 0.00200000, 0.52496815, 10000.00000000, 6271.00000000, 1228.95443365
0.10000000, 0.30000000, 0.00300000, 0.64417097, 10000.00000000, 7311.00000000, 1382.80548162
0.10000000, 0.30000000, 0.00400000, 0.69246174, 10000.00000000, 7850.00000000, 1469.89727532
