spread, inertia, balancing, x flow error, x total, rest, ||Ux-f||
0.00000000, 0.00000000, 0.00000000, 0.15910000, 10000.00000000, 0.00000000, 0.00000000
0.00000000, 0.00000000, 0.00100000, 0.23871232, 10000.00000000, 4099.00000000, 966.15888962
0.00000000, 0.00000000, 0.00200000, 0.48892086, 10000.00000000, 6448.00000000, 1230.75992785
0.00000000, 0.00000000, 0.00300000, 0.61647096, 10000.00000000, 7583.00000000, 1394.55118228
0.00000000, 0.00000000, 0.00400000, 0.70593220, 10000.00000000, 8265.00000000, 1513.84840721
0.00000000, 0.05000000, 0.00000000, 0.15910000, 10000.00000000, 0.00000000, 0.00000000
0.00000000, 0.05000000, 0.00100000, 0.25538738, 10000.00000000, 3881.00000000, 942.21175964
0.00000000, 0.05000000, 0.00200000, 0.48209210, 10000.00000000, 6356.00000000, 1224.85672632
0.00000000, 0.05000000, 0.00300000, 0.62238172, 10000.00000000, 7422.00000000, 1372.31556138
0.00000000, 0.05000000, 0.00400000, 0.67419410, 10000.00000000, 8110.00000000, 1485.10673017
0.00000000, 0.10000000, 0.00000000, 0.15843545, 10000.00000000, 382.00000000, 187.62196034
0.00000000, 0.10000000, 0.00100000, 0.25806452, 10000.00000000, 3625.00000000, 909.28158455
0.00000000, 0.10000000, 0.00200000, 0.50259343, 10000.00000000, 6260.00000000, 1220.36715787
0.00000000, 0.10000000, 0.00300000, 0.60423405, 10000.00000000, 7308.00000000, 1370.95660033
0.00000000, 0.10000000, 0.00400000, 0.66006150, 10000.00000000, 8010.00000000, 1474.93864279
0.00000000, 0.20000000, 0.00000000, 0.00000000, 10000.00000000, 4279.00000000, 1224.47907291
0.00000000, 0.20000000, 0.00100000, 0.21611398, 10000.00000000, 3366.00000000, 873.92562613
0.00000000, 0.20000000, 0.00200000, 0.49830464, 10000.00000000, 6153.00000000, 1210.40530402
0.00000000, 0.20000000, 0.00300000, 0.62991592, 10000.00000000, 7271.00000000, 1371.09044195
0.00000000, 0.20000000, 0.00400000, 0.66865017, 10000.00000000, 7884.00000000, 1470.85145409
0.00000000, 0.30000000, 0.00000000, 0.00000000, 10000.00000000, 5008.00000000, 1410.58214933
0.00000000, 0.30000000, 0.00100000, 0.31317183, 10000.00000000, 3298.00000000, 841.88360241
0.00000000, 0.30000000, 0.00200000, 0.49369106, 10000.00000000, 6188.00000000, 1218.35380740
0.00000000, 0.30000000, 0.00300000, 0.64076109, 10000.00000000, 7319.00000000, 1377.63384105
0.00000000, 0.30000000, 0.00400000, 0.67684211, 10000.00000000, 7851.00000000, 1470.53357663
0.05000000, 0.00000000, 0.00000000, 0.16690000, 10000.00000000, 82.00000000, 31.74901573
0.05000000, 0.00000000, 0.00100000, 0.25294516, 10000.00000000, 4165.00000000, 967.73601772
0.05000000, 0.00000000, 0.00200000, 0.50078673, 10000.00000000, 6510.00000000, 1241.46848530
0.05000000, 0.00000000, 0.00300000, 0.64168078, 10000.00000000, 7672.00000000, 1413.54801829
0.05000000, 0.00000000, 0.00400000, 0.73242812, 10000.00000000, 8325.00000000, 1532.54135344
0.05000000, 0.05000000, 0.00000000, 0.17040000, 10000.00000000, 163.00000000, 79.07591289
0.05000000, 0.05000000, 0.00100000, 0.27291088, 10000.00000000, 3934.00000000, 944.04554975
0.05000000, 0.05000000, 0.00200000, 0.49160671, 10000.00000000, 6396.00000000, 1225.69164148
0.05000000, 0.05000000, 0.00300000, 0.60779462, 10000.00000000, 7464.00000000, 1377.51225040
0.05000000, 0.05000000, 0.00400000, 0.69786749, 10000.00000000, 8144.00000000, 1494.43701774
0.05000000, 0.10000000, 0.00000000, 0.15843545, 10000.00000000, 382.00000000, 187.62196034
0.05000000, 0.10000000, 0.00100000, 0.27320727, 10000.00000000, 3701.00000000, 918.27610227
0.05000000, 0.10000000, 0.00200000, 0.47768734, 10000.00000000, 6278.00000000, 1218.22575904
0.05000000, 0.10000000, 0.00300000, 0.60200061, 10000.00000000, 7374.00000000, 1374.90799692
0.05000000, 0.10000000, 0.00400000, 0.67964946, 10000.00000000, 8026.00000000, 1481.60318574
0.05000000, 0.20000000, 0.00000000, 0.47765858, 10000.00000000, 3611.00000000, 1057.50602835
0.05000000, 0.20000000, 0.00100000, 0.28553182, 10000.00000000, 3459.00000000, 877.46965760
0.05000000, 0.20000000, 0.00200000, 0.50533576, 10000.00000000, 6199.00000000, 1215.98972035
0.05000000, 0.20000000, 0.00300000, 0.61491216, 10000.00000000, 7304.00000000, 1376.25215713
0.05000000, 0.20000000, 0.00400000, 0.66783944, 10000.00000000, 7923.00000000, 1475.56260457
0.05000000, 0.30000000, 0.00000000, 0.19733751, 10000.00000000, 4875.00000000, 1358.67913799
0.05000000, 0.30000000, 0.00100000, 0.35800723, 10000.00000000, 3435.00000000, 850.49808936
0.05000000, 0.30000000, 0.00200000, 0.50574863, 10000.00000000, 6217.00000000, 1221.39223839
