spread|inertia|balancing|x flow error|x total|rest|Ux-f|x flow error in dict|x_true|x_est|f
0.00000000|0.00000000|0.00000000|0.15910000|10000.00000000|0.00000000|0.00000000|-0.00000000|[ 1.          1.          1.          1.          1.          1.          1.          1.          1.          1.          1.          1.          1.          0.14210526  1.          1.          1.          1.          1.          1.          1.          1.          1.          1.          1.          0.58415842  1.          1.          1.          1.          1.          1.          1.          0.85789474  1.          1.          1.          1.          1.          1.          1.          1.          1.          1.          1.          0.41584158  1.          1.          1.          1.          1.          1.          1.          1.          1.          1.          1.          1.          1.          1.          1.          1.          1.          1.          1.          1.          1.          1.          1.          1.          1.          1.          1.          1.          1.          1.          1.          1.          1.          1.          1.          1.          0.          0.          1.          1.          1.          1.          1.          1.          1.          1.        ]|[ 1.  1.  1.  0.  0.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  0.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  0.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]|[  0  15   0 485   0   0   0 101 380   0   3 580  40   2   0  18 120   0  86   0   0   0   3  55   0   0 163   4   0   0   0 156  17  72   0 403   0 700   0   0   0   0  40   0   0   0  92  47   0 114 526   0  23  81 164   0  16   0   0   0   0  88   0  23   6   0 154  24  33   0  18   0   0   0  47   0   0   0  13   0 107   0  44  82   0   0  29   0 794   0   9  11   1   0  67   0   0   0   0   0   0  56  75 182  24   0  80  90   0  36   0   0   0   0   0   0   0   0   0  44 169  16 106   0   3  17  69   0 431 163   0   2   0   0  57   0   0   0 114   0   0  98  14  84  52   0  15 176   0  10   0 137   0   0 116  36 101  83   0  16 333   0 155   0  78   0 112 346  81  89   6  72   0   0   0]
0.00000000|0.00000000|0.00040000|0.31317760|10000.00000000|2009.00000000|758.65604855|0.68113709|[   2.71641791    1.            1.            1.            1.67164179    1.          106.            1.            1.            1.            1.            1.            0.14516129   22.38888889    1.            1.            1.            1.            1.            1.            1.            1.            1.09302326    1.01149425    0.59          7.16666667    1.            1.            1.            0.87634409    1.            1.            1.            1.            1.            1.            1.            1.            1.07453416    1.            0.42          1.            1.            1.            1.            1.            1.            1.            2.60869565    1.            1.            1.            4.78571429    1.1           1.            1.            1.            1.            9.           13.            1.            1.            1.            1.            1.            1.            1.10679612    1.            1.            1.            8.5           1.5           1.            1.            0.            0.            1.            1.            1.            1.            1.            1.            1.        ]|[ 1.  1.  1.  0.  1.  0.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  0.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  0.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]|[  0  15   0 485   0   0   0 100 372   0   3   0  40   0   0   2  46   0  12   0   0   0   3  55   0   0 163   4   0   0   0 156   2  72   0  18   0 700   0   0   0   0  40   0   0   0  92  47   0 103 526   0  23  81   0   0  16   0   0   0   0  88   0  23   6   0 154  24   0   0  18   0   0   0  43   0   0   0   1   0   0   0  44   0   0   0  29   0 794   0   9  11   1   0  14   0   0   0   0   0   0  56  75  67  16   0  80  90   0  36   0   0   0   0   0   0   0   0   0  40 169   0   1   0   3   0  69   0 431 163   0   2   0   0  57   0   0   0 114   0   0  98  14  84   0   0  15 174   0  10   0 137   0   0 116  36 101  83   0  16 333   0 155   0  78   0  67 322  81  89   6  72   0   0   0]
0.00000000|0.00000000|0.00080000|0.18424150|10000.00000000|3673.00000000|931.43813536|0.50563123|[  4.43902439   1.32520325   1.5          1.           2.60465116   1.           1.           1.2295082    1.           1.36111111   1.           1.           1.           1.           1.           1.           1.22463768   1.04347826   2.47368421   1.34090909  17.2          1.           1.           1.           1.26356589   1.           1.09090909   1.           1.           2.18421053   1.           1.63207547   0.95454545   1.02857143   1.           1.           1.           1.           1.           1.52777778   8.           1.2          1.64285714   1.           1.46666667   1.           1.           1.30882353   1.           9.          13.           1.           1.           1.83333333   1.           1.           5.8          1.86885246   1.03061224   1.           3.           1.           1.           0.           1.           2.           1.42857143   1.5       ]|[ 1.  1.  1.  0.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  0.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]|[  0  15   0 485   0   0   0  44   0   0   2   0  40   0   0   2  15   0   5   0   0   0   2  36   0   0 123   4   0   0   0   0   0  72   0   0   0 700   0   0   0   0  40   0   0   0  92  47   0  61 526   0  14  81   0   0  16   0   0   0   0  88   0  23   3   0 154  23   0   0  18   0   0   0  19   0   0   0   1   0   0   0  44   0   0   0   5   0 794   0   9   6   1   0   0   0   0   0   0   0   0   0  61  41   8   0  80  75   0  33   0   0   0   0   0   0   0   0   0  30 138   0   0   0   0   0  69   0 431 129   0   2   0   0  57   0   0   0 114   0   0  72  14  84   0   0  15   0   0   7   0   0   0   0 116  35  98  38   0   0 333   0 155   0  78   0  43 212  81  68   0   0   0   0   0]
0.00000000|0.00000000|0.00120000|0.31310779|10000.00000000|4663.00000000|1001.91167275|0.69479999|[  6.27586207   1.75268817   3.           1.02147239   3.61290323   1.18406593   1.           4.41176471   1.           1.55555556   1.           1.203125     1.1          1.           1.           1.8988764    1.14285714   2.9375      14.75        28.66666667   1.           1.28099174   1.           1.75268817   1.28478964   2.4          1.           1.1611479    3.60869565   1.07142857   4.43589744   1.71428571  10.5          1.           1.01596517   1.           1.01754386   1.08108108   1.96428571  15.           1.34328358   3.83333333   1.03636364   1.76         1.           1.25         2.47222222   1.          13.           1.           1.           1.           1.           2.65116279   1.53030303   1.          17.           4.8          1.           1.33333333   3.           3.33333333   3.        ]|[ 1.  1.  1.  0.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]|[  0  14   0 485   0   0   0   4   0   0   1   0  32   0   0   0   8   0   3   0   0   0   1  28   0   0  93   3   0   0   0   0   1  72   0   0   0 689   0   0   0   0  40   0   0   0  92  47   0  43 453   0   6  81   0   0  16   0   0   0   0  88   0  23   2   0 128  21   0   0  18   0   0   0  16   0   0   0   1   0   0   0  40   0   0   0   0   0 618   0   0   0   0   0   0   0   0   0   0   0   0   0  17  29   5   0  74  67   0  15   0   0   0   0   0   0   0   0   0  25  89   0   0   0   0   0  69   0 364  93   0   2   0   0  57   0   0   0 110   0   0  63  14  84   0   0  15   0   0   3   0   0   0   0 114  21  66  23   0   0 326   0 121   0  78   0  31  78  81  36   0   0   0   0   0]
0.00000000|0.00000000|0.00200000|0.48892086|10000.00000000|6448.00000000|1230.75992785|0.84059682|[  10.11111111    2.71666667    3.            1.44155844    5.89473684    2.32972973    1.125         1.            1.92156863    1.            2.16901408    1.41935484    1.            1.24324324    2.48529412    1.71428571    3.35714286   43.            1.78125       3.69047619    1.            7.40909091    2.43558282    1.            2.82795699    3.75         19.22222222   12.            1.30645161    1.3618677     1.02985075    1.78461538    1.53846154    2.75        120.            1.60714286    1.37349398    2.93333333    1.            2.            2.96666667    1.63636364    1.            1.04545455    1.            1.07692308    4.95652174    4.20833333    1.14285714   24.            2.            2.            6.            5.        ]|[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]|[  0   4   0 485   0   0   0   0   0   0   1   0  20   0   0   0   1   0   2   0   0   0   0  20   0   0  60   2   0   0   0   0   0  72   0   0   0 514   0   0   0   0  40   0   0   0  74  47   0  23 186   0   0  72   0   0  14   0   0   0   0  88   0  22   1   0  71  14   0   0  11   0   0   0  14   0   0   0   0   0   0   0  31   0   0   0   0   0 326   0   0   0   0   0   0   0   0   0   0   0   0   0   0  18   1   0  52  56   0   0   0   0   0   0   0   0   0   0   0  15  68   0   0   0   0   0  67   0 185  22   0   1   0   0  32   0   0   0  83   0   0  51  13  84   0   0  15   0   0   2   0   0   0   0  65   3  24   0   0   0 231   0  42   0  78   0  19  18  62  30   0   0   0   0   0]
0.00000000|0.05000000|0.00000000|0.15910000|10000.00000000|0.00000000|0.00000000|-0.00000000|[ 1.          1.          1.          1.          1.          1.          1.          1.          1.          1.          1.          1.          1.          0.14210526  1.          1.          1.          1.          1.          1.          1.          1.          1.          1.          1.          0.58415842  1.          1.          1.          1.          1.          1.          1.          0.85789474  1.          1.          1.          1.          1.          1.          1.          1.          1.          1.          1.          0.41584158  1.          1.          1.          1.          1.          1.          1.          1.          1.          1.          1.          1.          1.          1.          1.          1.          1.          1.          1.          1.          1.          1.          1.          1.          1.          1.          1.          1.          1.          1.          1.          1.          1.          1.          1.          1.          0.          0.          1.          1.          1.          1.          1.          1.          1.          1.        ]|[ 1.  1.  1.  0.  0.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  0.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  0.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]|[  0  15   0 485   0   0   0 101 380   0   3 580  40   2   0  18 120   0  86   0   0   0   3  55   0   0 163   4   0   0   0 156  17  72   0 403   0 700   0   0   0   0  40   0   0   0  92  47   0 114 526   0  23  81 164   0  16   0   0   0   0  88   0  23   6   0 154  24  33   0  18   0   0   0  47   0   0   0  13   0 107   0  44  82   0   0  29   0 794   0   9  11   1   0  67   0   0   0   0   0   0  56  75 182  24   0  80  90   0  36   0   0   0   0   0   0   0   0   0  44 169  16 106   0   3  17  69   0 431 163   0   2   0   0  57   0   0   0 114   0   0  98  14  84  52   0  15 176   0  10   0 137   0   0 116  36 101  83   0  16 333   0 155   0  78   0 112 346  81  89   6  72   0   0   0]
0.00000000|0.05000000|0.00040000|0.24764585|10000.00000000|1479.00000000|684.59988314|0.34889890|[  1.17419355   1.           1.           1.           1.09803922   1.           1.           1.26190476   1.           1.           1.           1.           1.           0.14210526   3.44444444   1.02857143   1.           1.           1.           1.           1.           1.           1.           1.09302326   1.           0.58415842   5.46666667   3.30769231   1.          13.375        1.           1.           0.85789474   1.94117647   1.           1.           1.           1.           1.           1.           1.           1.           1.           1.           0.41584158   1.           1.           1.           1.           1.           1.           1.           1.34831461   1.          17.33333333   1.           1.           1.13559322   1.           1.           1.           1.           1.           1.2          1.           1.           1.06666667   1.           1.           1.           1.           1.           1.10679612   1.           1.           1.           5.66666667   1.5          1.           1.           0.           0.           1.           1.           1.           1.           1.           1.           1.        ]|[ 1.  1.  1.  0.  0.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  0.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  0.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]|[  0  15   0 485   0   0   0 101 380   0   3   0  40   2   0  15  89   0  26   0   0   0   3  55   0   0 163   4   0   0   0 156   3  72   0 117   0 700   0   0   0   0  40   0   0   0  92  47   0 103 526   0  23  81   0   0  16   0   0   0   0  88   0  23   6   0 154  24  17   0  18   0   0   0  43   0   0   0  13   0   8   0  44  15   0   0  29   0 794   0   9  11   1   0  59   0   0   0   0   0   0  56  75 155  16   0  80  90   0  36   0   0   0   0   0   0   0   0   0  44 169  15  84   0   3   0  69   0 431 163   0   2   0   0  57   0   0   0 114   0   0  98  14  84   3   0  15 176   0  10   0 137   0   0 116  36 101  83   0  16 333   0 155   0  78   0 102 346  81  89   6  70   0   0   0]
0.00000000|0.05000000|0.00080000|0.20579538|10000.00000000|3334.00000000|899.68550061|0.52680315|[  2.45945946   1.10884354   3.           1.           1.62318841   1.          13.25         1.           1.05633803   1.           1.4          1.          16.12         1.           1.           1.           1.           1.           1.05625      1.04347826   2.47368421   0.7195122    6.14285714   1.           1.           1.           1.14788732   1.           1.09090909   1.           1.           1.62745098   1.           1.4122449    0.51219512   1.05882353   1.           1.           1.           1.           1.           1.52777778   2.06896552   1.21621622   1.04545455   1.           3.94117647   1.29411765   1.           1.           1.09876543   1.           3.6          4.33333333   1.           1.           1.83333333   1.           1.           5.8          1.86885246   1.07446809   1.          17.           3.           1.           0.           1.           1.2          1.11111111   1.5       ]|[ 1.  1.  1.  0.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  0.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]|[  0  15   0 485   0   0   0  82   0   0   1   0  40   0   0   5  58   0  14   0   0   0   2  36   0   0 147   4   0   0   0   0   1  72   0  25   0 700   0   0   0   0  40   0   0   0  92  47   0  61 526   0  22  81   0   0  16   0   0   0   0  88   0  23   5   0 154  23   0   0  18   0   0   0  19   0   0   0   3   0   0   0  44   0   0   0   5   0 794   0   9   6   0   0  17   0   0   0   0   0   0   0  71  74   8   0  80  74   0  33   0   0   0   0   0   0   0   0   0  34 160   0   8   0   0   0  69   0 431 142   0   2   0   0  57   0   0   0 114   0   0  70  14  84   0   0  15   0   0   9   0   0   0   0 116  34  94  51   0   0 333   0 155   0  78   0  69 245  81  81   0   0   0   0   0]
0.00000000|0.05000000|0.00120000|0.34307415|10000.00000000|4582.00000000|992.48677573|0.79206505|[   3.30909091    1.50925926    3.            1.02147239    2.19607843    1.18406593    1.            2.5862069     1.            1.58064516    1.          134.33333333    1.203125      1.1           1.            1.            1.83695652    1.14285714    2.9375        5.36363636    7.81818182    1.            1.37168142    1.            1.75268817    1.30807249    2.4           1.            1.1611479     3.60869565    1.07142857    4.02325581    3.6           3.81818182    1.            1.01892285    1.            1.01754386    1.11111111    2.03703704    5.45454545    1.34328358    1.53333333    1.03636364   33.5           1.33333333    1.            1.            2.34210526    1.            6.           13.            1.            1.            1.            1.            2.65116279    2.72972973    1.            4.8           1.            2.            3.33333333    1.5       ]|[ 1.  1.  1.  0.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]|[  0  14   0 485   0   0   0  11   0   0   1   0  40   0   0   3  22   0  11   0   0   0   2  27   0   0 108   0   0   0   0   0   0  72   0   3   0 687   0   0   0   0  40   0   0   0  92  47   0  43 453   0  15  81   0   0  16   0   0   0   0  88   0  23   3   0 128  21   0   0  18   0   0   0  16   0   0   0   1   0   0   0  40   0   0   0   0   0 607   0   0   0   0   0   2   0   0   0   0   0   0   0  29  55   5   0  72  67   0  15   0   0   0   0   0   0   0   0   0  33  92   0   0   0   0   0  69   0 364  93   0   2   0   0  57   0   0   0 110   0   0  62  14  84   0   0  15   0   0   3   0   0   0   0 114  10  37  23   0   0 326   0 113   0  78   0  51  86  81  38   0   0   0   0   0]
0.00000000|0.05000000|0.00200000|0.48209210|10000.00000000|6356.00000000|1224.85672632|0.76635341|[  4.78947368   1.89534884   3.           1.44155844   3.39393939   2.26842105   1.15714286  10.71428571   1.           1.92156863   1.           2.16901408   1.46666667   1.           1.24324324   2.38028169   1.84615385   3.35714286  21.5          1.67647059   4.07894737   1.           7.40909091   2.37724551   1.           2.87431694   3.75        19.22222222   1.0125       1.4084507    1.           1.96610169   1.53846154   3.4375      24.           1.69811321   2.875        1.37349398   1.51724138   1.           1.21212121   2.87096774   1.63636364   9.          13.           1.           1.           1.           1.           4.95652174  10.1          1.14285714  24.           1.          10.           3.        ]|[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]|[  0   4   0 485   0   0   0   0   0   0   1   0  33   0   0   2   5   0   4   0   0   0   1  16   0   0  86   0   0   0   0   0   0  72   0   0   0 497   0   0   0   0  40   0   0   0  74  47   0  23 183   0   8  70   0   0  14   0   0   0   0  88   0  23   0   0  71  13   0   0  11   0   0   0  14   0   0   0   1   0   0   0  30   0   0   0   0   0 334   0   0   0   0   0   0   0   0   0   0   0   0   0   7  38   1   0  52  53   0   0   0   0   0   0   0   0   0   0   0  29  71   0   0   0   0   0  69   0 190  22   0   2   0   0  34   0   0   0  83   0   0  51  14  84   0   0  15   0   0   1   0   0   0   0  59   0  10   0   0   0 231   0  38   0  78   0  33  18  80  31   0   0   0   0   0]
