spread, inertia, balancing, x flow error, x total, rest, ||Ux-f||
0.10000000, 0.00000000, 0.00400000, 0.59254163, 10000.00000000, 7039.00000000, 1444.68231802
0.10000000, 0.05000000, 0.00000000, 0.19290000, 10000.00000000, 1929.00000000, 893.45117382
0.10000000, 0.05000000, 0.00100000, 0.19266952, 10000.00000000, 3392.00000000, 1148.64267725
0.10000000, 0.05000000, 0.00200000, 0.28952530, 10000.00000000, 4567.00000000, 1228.60693470
0.10000000, 0.05000000, 0.00300000, 0.42331370, 10000.00000000, 5691.00000000, 1290.44217228
0.10000000, 0.05000000, 0.00400000, 0.58190844, 10000.00000000, 6968.00000000, 1431.66686069
0.10000000, 0.10000000, 0.00000000, 0.21086461, 10000.00000000, 2388.00000000, 1076.79710252
0.10000000, 0.10000000, 0.00100000, 0.26684697, 10000.00000000, 3494.00000000, 1154.80041566
0.10000000, 0.10000000, 0.00200000, 0.30395451, 10000.00000000, 4614.00000000, 1236.85326535
0.10000000, 0.10000000, 0.00300000, 0.42322598, 10000.00000000, 5684.00000000, 1292.56334468
0.10000000, 0.10000000, 0.00400000, 0.57686475, 10000.00000000, 6931.00000000, 1426.86754816
0.10000000, 0.20000000, 0.00000000, 0.00131857, 10000.00000000, 2426.00000000, 1083.55710509
0.10000000, 0.20000000, 0.00100000, 0.34074519, 10000.00000000, 3418.00000000, 1129.38567372
0.10000000, 0.20000000, 0.00200000, 0.35059423, 10000.00000000, 4645.00000000, 1247.82009921
0.10000000, 0.20000000, 0.00300000, 0.44725035, 10000.00000000, 5688.00000000, 1296.96183444
0.10000000, 0.20000000, 0.00400000, 0.57401021, 10000.00000000, 6912.00000000, 1424.52658803
0.10000000, 0.30000000, 0.00000000, 0.00131857, 10000.00000000, 2426.00000000, 1083.55710509
0.10000000, 0.30000000, 0.00100000, 0.25980714, 10000.00000000, 3245.00000000, 1132.40937827
0.10000000, 0.30000000, 0.00200000, 0.34658747, 10000.00000000, 4610.00000000, 1250.14479161
0.10000000, 0.30000000, 0.00300000, 0.43177961, 10000.00000000, 5648.00000000, 1298.57229294
0.10000000, 0.30000000, 0.00400000, 0.58054054, 10000.00000000, 6896.00000000, 1422.08930803
